n00205079	renunciation
n00205349	nonacceptance
n00205543	forsaking
n00205649	abnegation
n00205891	forfeit
n00206130	boycott
n00206302	banishment
n00206600	anathematization
n00206779	disbarment
n00206927	ejection
n00207306	deportation
n00207434	ostracism
n00207622	barring
n00207761	exile
n00208141	Babylonian Captivity
n00208277	excommunication
n00208521	relegation
n00208694	rustication
n00208797	ouster
n00208943	deposition
n00209132	suspension
n00209301	rustication
n00209446	displacement
n00209546	veto
n00209680	pocket veto
n00209789	write-in
n00209943	termination
n00210518	finish
n00210797	finale
n00210940	release
n00211110	completion
n00211462	finalization
n00211593	follow-through
n00211776	follow-through
n00212065	graduation
n00212205	retirement
n00212377	hibernation
n00212551	rustication
n00212678	swan song
n00212808	relinquishment
n00213052	cession
n00213186	handover
n00213343	surrender
n00213482	extradition
n00213694	release
n00213903	exemption
n00214148	fix
n00214315	official immunity
n00214526	sovereign immunity
n00214794	transactional immunity
n00215013	use immunity
n00215314	dissolution
n00215534	splitsville
n00215683	overthrow
n00215838	subversion
n00216038	adjournment
n00216174	dismissal
n00216607	conge
n00216723	removal
n00216834	purge
n00217014	destruction
n00217499	disaster
n00217593	kill
n00217773	laying waste
n00218045	razing
n00218208	annihilation
n00218427	decimation
n00218602	atomization
n00218753	pulverization
n00218902	vaporization
n00219012	killing
n00219463	deathblow
n00219575	death
n00219738	drive-by killing
n00219856	euthanasia
n00220023	homicide
n00220219	honor killing
n00220409	manslaughter
n00220522	murder
n00221056	assassination
n00221178	bloodshed
n00221343	chance-medley
n00221480	contract killing
n00221596	parricide
n00221727	mariticide
n00221819	matricide
n00221900	patricide
n00221981	fratricide
n00222064	uxoricide
n00222155	filicide
n00222248	dispatch
n00222376	fell
n00222485	suicide
n00222766	self-destruction
n00222939	assisted suicide
n00223144	physician-assisted suicide
n00223268	felo-de-se
n00223362	harakiri
n00223575	suttee
n00223720	elimination
n00223854	slaughter
n00223983	slaughter
n00224260	bloodbath
n00224599	lynching
n00224738	poisoning
n00224936	gassing
n00225070	regicide
n00225150	shooting
n00225361	drive-by shooting
n00225484	wing shooting
n00225593	suffocation
n00225786	choking
n00226107	spasm
n00226319	squeeze
n00226511	bronchospasm
n00226711	cardiospasm
n00226951	heave
n00227137	laryngismus
n00227264	strangulation
n00227484	carjacking
n00227595	sacrifice
n00227848	hecatomb
n00227969	immolation
n00228078	electrocution
n00228181	decapitation
n00228283	abolition
n00228535	liquidation
n00228762	viatical settlement
n00228911	withdrawal
n00229034	cold turkey
n00229260	closure
n00229587	plant closing
n00229688	bank closing
n00229814	layoff
n00229934	extinction
n00230172	fade
n00230324	abortion
n00230475	spontaneous abortion
n00230703	habitual abortion
n00230824	imminent abortion
n00230997	incomplete abortion
n00231161	induced abortion
n00231315	aborticide
n00231412	therapeutic abortion
n00231567	nullification
n00231887	abrogation
n00232147	derogation
n00232386	cancellation
n00232604	write-off
n00232765	attainder
n00232863	recission
n00233212	vitiation
n00233386	neutralization
n00233614	deactivation
n00233795	deactivation
n00233980	honorable discharge
n00234105	dishonorable discharge
n00234277	Section Eight
n00234423	neutralization
n00234675	neutralization
n00234892	reversal
n00235074	undoing
n00235208	regression
n00235435	beginning
n00236194	springboard
n00236581	accession
n00236821	activation
n00236953	attack
n00237078	constitution
n00237705	re-establishment
n00237869	Creation
n00238022	introduction
n00238326	induction of labor
n00238527	induction
n00238778	hypnogenesis
n00238871	product introduction
n00239024	face-off
n00239230	first step
n00239483	groundbreaking
n00239666	housing start
n00239766	icebreaker
n00239910	inauguration
n00240184	initiation
n00240754	authorship
n00240938	installation
n00241245	jump ball
n00241507	kickoff
n00241699	start
n00242003	resumption
n00242146	scrum
n00242431	startup
n00242583	unionization
n00242808	arousal
n00243102	reveille
n00243237	ushering in
n00243373	inauguration
n00243577	curtain raiser
n00243662	first base
n00243813	peace initiative
n00243918	cooking
n00246341	baking
n00246460	shirring
n00246552	toasting
n00246754	broil
n00246940	frying
n00247081	fusion cooking
n00247229	braising
n00247342	poaching
n00247442	roasting
n00247654	barbecuing
n00247792	boiling
n00247955	basting
n00248063	tenderization
n00248252	percolation
n00248368	seasoning
n00248534	salting
n00248636	sweetening
n00248748	infusion
n00248977	improvement
n00249501	advancement
n00249780	forwarding
n00249987	stride
n00250143	work flow
n00250259	development
n00250597	broadening
n00250710	elaboration
n00250882	product development
n00251013	cleaning
n00251520	disinfestation
n00251636	spring-cleaning
n00251780	scrub
n00252020	swabbing
n00252169	dry cleaning
n00252307	sweeping
n00252430	purge
n00252662	purge
